# z [m], Vert Contrast, Horz Contrast, Vert Period [m], Horz Period [m]
0.673, 0.020424291, 0.023470896, 1.52e-06, 1.5221997e-06
0.681, 0.0059841024, 0.0047095094, 1.52e-06, 1.5221997e-06
0.689, 0.022744643, 0.023819333, 1.52e-06, 1.5221997e-06
0.697, 0.0075349233, 0.012714363, 1.5221997e-06, 1.5244058e-06
0.705, 0.019180044, 0.016883758, 1.5221997e-06, 1.5221997e-06
0.713, 0.015441004, 0.018771968, 1.5221997e-06, 1.5244058e-06
0.721, 0.012440607, 0.0087425485, 1.5221997e-06, 1.5244058e-06
0.729, 0.021640624, 0.023668127, 1.5221997e-06, 1.5244058e-06
0.737, 0.0031522688, 0.0036212639, 1.5221997e-06, 1.5266183e-06
0.745, 0.020287091, 0.020534285, 1.5221997e-06, 1.5244058e-06
0.753, 0.0082777223, 0.011881059, 1.5244058e-06, 1.5266183e-06
0.761, 0.016355767, 0.013900695, 1.5244058e-06, 1.5244058e-06
0.769, 0.016315524, 0.019881223, 1.5244058e-06, 1.5266183e-06
0.777, 0.010047405, 0.0062338426, 1.5244058e-06, 1.5244058e-06
0.785, 0.019149288, 0.020178551, 1.5244058e-06, 1.5266183e-06
0.793, 0.0047291571, 0.0053644736, 1.5244058e-06, 1.5288372e-06
0.801, 0.019688132, 0.018073143, 1.5244058e-06, 1.5266183e-06
0.809, 0.0093868651, 0.013735378, 1.5266183e-06, 1.5288372e-06
0.817, 0.01483764, 0.011977183, 1.5244058e-06, 1.5266183e-06
0.825, 0.015188267, 0.017553312, 1.5266183e-06, 1.5288372e-06
0.833, 0.0080544456, 0.0048443978, 1.5266183e-06, 1.5266183e-06
0.841, 0.019766725, 0.019425134, 1.5266183e-06, 1.5288372e-06
0.849, 0.0028154296, 0.0073920389, 1.5288372e-06, 1.5310626e-06
0.857, 0.017524441, 0.01529262, 1.5266183e-06, 1.5288372e-06
0.865, 0.0095847517, 0.012420683, 1.5288372e-06, 1.5310626e-06
0.873, 0.012808495, 0.0088765008, 1.5266183e-06, 1.5288372e-06
0.881, 0.016982707, 0.018178339, 1.5288372e-06, 1.5310626e-06
0.889, 0.0060691998, 0.0023846053, 1.5266183e-06, 1.5288372e-06
0.897, 0.018070387, 0.016628697, 1.5288372e-06, 1.5310626e-06
0.905, 0.0045844986, 0.0077006064, 1.5288372e-06, 1.5332945e-06
0.913, 0.016809812, 0.01241026, 1.5288372e-06, 1.5310626e-06
0.921, 0.011258136, 0.014087098, 1.5310626e-06, 1.5332945e-06
0.929, 0.01079763, 0.0058684282, 1.5288372e-06, 1.5310626e-06
0.937, 0.01465231, 0.014686492, 1.5310626e-06, 1.5332945e-06
0.945, 0.0046833327, 0.0035027962, 1.5288372e-06, 1.5355328e-06
0.953, 0.017095857, 0.014087687, 1.5310626e-06, 1.5332945e-06
0.961, 0.0056273673, 0.0090034036, 1.5310626e-06, 1.5332945e-06
0.969, 0.014132417, 0.0093890852, 1.5310626e-06, 1.5332945e-06
0.977, 0.010714301, 0.011872892, 1.5310626e-06, 1.5355328e-06
0.985, 0.0085519815, 0.0040136759, 1.5310626e-06, 1.5332945e-06
0.993, 0.015386395, 0.013655318, 1.5310626e-06, 1.5355328e-06
1.001, 0.0019227881, 0.0050463286, 1.5355328e-06, 1.5355328e-06
1.009, 0.014053122, 0.010793083, 1.5332945e-06, 1.5355328e-06
1.017, 0.0076482574, 0.0095584542, 1.5332945e-06, 1.5355328e-06
1.025, 0.011136916, 0.0062426722, 1.5332945e-06, 1.5355328e-06
1.033, 0.012669726, 0.011986917, 1.5332945e-06, 1.5355328e-06
1.041, 0.005187535, 0.0025069374, 1.5332945e-06, 1.5400293e-06
1.049, 0.013957245, 0.010264432, 1.5332945e-06, 1.5377778e-06
1.057, 0.0042033415, 0.0069218311, 1.5355328e-06, 1.5377778e-06
1.065, 0.012698844, 0.0078066674, 1.5332945e-06, 1.5377778e-06
1.073, 0.0097553999, 0.010945348, 1.5355328e-06, 1.5377778e-06
1.081, 0.0081953614, 0.0030748298, 1.5332945e-06, 1.5355328e-06
1.089, 0.013183112, 0.010772056, 1.5355328e-06, 1.5377778e-06
1.097, 0.0036636387, 0.004236276, 1.5355328e-06, 1.5400293e-06
1.105, 0.014215788, 0.0090693046, 1.5355328e-06, 1.5377778e-06
1.113, 0.0057098509, 0.0085612574, 1.5377778e-06, 1.5400293e-06
1.121, 0.010248512, 0.004979812, 1.5355328e-06, 1.5377778e-06
1.129, 0.0094729368, 0.0097030281, 1.5377778e-06, 1.5400293e-06
1.137, 0.0058466299, 0.0021752774, 1.5355328e-06, 1.5422874e-06
1.145, 0.013115184, 0.0095502752, 1.5377778e-06, 1.5400293e-06
1.153, 0.0026751183, 0.0060483281, 1.5400293e-06, 1.5422874e-06
1.161, 0.011827446, 0.0066195298, 1.5377778e-06, 1.5400293e-06
1.169, 0.0066180047, 0.0084248305, 1.5377778e-06, 1.5422874e-06
1.177, 0.008386446, 0.0032028296, 1.5377778e-06, 1.5400293e-06
1.185, 0.010833622, 0.0091830277, 1.5400293e-06, 1.5422874e-06
